ARADJUSTMENTACCTDAMOUNT,ARADJUSTMENTADJTAXACCTRULE,ARADJUSTMENTADJUSTMENTID,ARADJUSTMENTADJUSTMENTNUMBER,ARADJUSTMENTADJUSTMENTTYPE,ARADJUSTMENTAMOUNT,ARADJUSTMENTAPPLYDATE,ARADJUSTMENTAPPROVEDBY,ARADJUSTMENTASSOCIATEDAPPLICATIONID,ARADJUSTMENTASSOCIATEDCASHRECEIPTID,ARADJUSTMENTATTRIBUTE1,ARADJUSTMENTATTRIBUTE10,ARADJUSTMENTATTRIBUTE11,ARADJUSTMENTATTRIBUTE12,ARADJUSTMENTATTRIBUTE13,ARADJUSTMENTATTRIBUTE14,ARADJUSTMENTATTRIBUTE15,ARADJUSTMENTATTRIBUTE2,ARADJUSTMENTATTRIBUTE3,ARADJUSTMENTATTRIBUTE4,ARADJUSTMENTATTRIBUTE5,ARADJUSTMENTATTRIBUTE6,ARADJUSTMENTATTRIBUTE7,ARADJUSTMENTATTRIBUTE8,ARADJUSTMENTATTRIBUTE9,ARADJUSTMENTATTRIBUTECATEGORY,ARADJUSTMENTAUTOMATICALLYGENERATED,ARADJUSTMENTAXACCOUNTEDFLAG,ARADJUSTMENTBATCHID,ARADJUSTMENTCHARGEBACKCUSTOMERTRXID,ARADJUSTMENTCODECOMBINATIONID,ARADJUSTMENTCOMMENTS,ARADJUSTMENTCONSINVID,ARADJUSTMENTCREATEDBY,ARADJUSTMENTCREATEDFROM,ARADJUSTMENTCREATIONDATE,ARADJUSTMENTCUSTOMERTRXID,ARADJUSTMENTCUSTOMERTRXLINEID,ARADJUSTMENTDISTRIBUTIONSETID,ARADJUSTMENTDOCSEQUENCEID,ARADJUSTMENTDOCSEQUENCEVALUE,ARADJUSTMENTEVENTID,ARADJUSTMENTFREIGHTADJUSTED,ARADJUSTMENTGLDATE,ARADJUSTMENTGLOBALATTRIBUTE1,ARADJUSTMENTGLOBALATTRIBUTE10,ARADJUSTMENTGLOBALATTRIBUTE11,ARADJUSTMENTGLOBALATTRIBUTE12,ARADJUSTMENTGLOBALATTRIBUTE13,ARADJUSTMENTGLOBALATTRIBUTE14,ARADJUSTMENTGLOBALATTRIBUTE15,ARADJUSTMENTGLOBALATTRIBUTE16,ARADJUSTMENTGLOBALATTRIBUTE17,ARADJUSTMENTGLOBALATTRIBUTE18,ARADJUSTMENTGLOBALATTRIBUTE19,ARADJUSTMENTGLOBALATTRIBUTE2,ARADJUSTMENTGLOBALATTRIBUTE20,ARADJUSTMENTGLOBALATTRIBUTE3,ARADJUSTMENTGLOBALATTRIBUTE4,ARADJUSTMENTGLOBALATTRIBUTE5,ARADJUSTMENTGLOBALATTRIBUTE6,ARADJUSTMENTGLOBALATTRIBUTE7,ARADJUSTMENTGLOBALATTRIBUTE8,ARADJUSTMENTGLOBALATTRIBUTE9,ARADJUSTMENTGLOBALATTRIBUTECATEGORY,ARADJUSTMENTGLPOSTEDDATE,ARADJUSTMENTINTERESTHEADERID,ARADJUSTMENTINTERESTLINEID,ARADJUSTMENTLASTUPDATEDATE,ARADJUSTMENTLASTUPDATEDBY,ARADJUSTMENTLASTUPDATELOGIN,ARADJUSTMENTLINENONRECOVERABLE,ARADJUSTMENTLINKTOTRXHISTID,ARADJUSTMENTOBJECTVERSIONNUMBER,ARADJUSTMENTORGID,ARADJUSTMENTPAYMENTSCHEDULEID,ARADJUSTMENTPOSTABLE,ARADJUSTMENTPOSTINGCONTROLID,ARADJUSTMENTPROGRAMAPPLICATIONID,ARADJUSTMENTPROGRAMID,ARADJUSTMENTPROGRAMUPDATEDATE,ARADJUSTMENTREASONCODE,ARADJUSTMENTRECEIVABLESCHARGESADJUSTED,ARADJUSTMENTRECEIVABLESTRXID,ARADJUSTMENTREQUESTID,ARADJUSTMENTSETOFBOOKSID,ARADJUSTMENTSTATUS,ARADJUSTMENTSUBSEQUENTTRXID,ARADJUSTMENTTAXADJUSTED,ARADJUSTMENTTAXNONRECOVERABLE,ARADJUSTMENTTYPE,ARADJUSTMENTUPGRADEMETHOD,ARADJUSTMENTUSSGLTRANSACTIONCODE,ARADJUSTMENTUSSGLTRANSACTIONCODECONTEXT,LINEADJUSTED
"7.14","33","15278866","16899164","A","7.14","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136060","","","","","68497468","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21714730","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","7.14"
"7.14","33","15278867","16899165","A","7.14","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136061","","","","","68497469","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21714731","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","7.14"
"7.14","33","15278868","16899166","A","7.14","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136062","","","","","68497470","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21714732","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","7.14"
"7.14","33","15278869","16899167","A","7.14","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136089","","","","","68497471","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21714759","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","7.14"
"7.14","33","15278870","16899168","A","7.14","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136090","","","","","68497472","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21714760","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","7.14"
"7.14","33","15278871","16899169","A","7.14","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136091","","","","","68497473","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21714761","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","7.14"
"-251.76","33","15278872","16899170","A","-251.76","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136310","","","","","68497474","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21714980","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-251.76"
"-113.63","33","15278873","16899171","A","-113.63","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136314","","","","","68497475","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21714984","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-113.63"
"-1203.26","33","15278874","16899172","A","-1203.26","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136332","","","","","68497476","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21715002","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-1203.26"
"-114.62","33","15278875","16899173","A","-114.62","2025-03-02","SCHEDULER_USER","","","","","","","","","","","","","","","","","","","Y","","","","12062","","","SCHEDULER_USER","ARXAAP","2025-03-02 00:00:00.000000","23136338","","","","","68497477","0","2025-03-01","","","","","","","","","","","","","","","","","","","","","","2025-03-02","","","2025-03-02 14:37:41.000000","SCHEDULER_USER","2F55F3B50183EF1FE063CD63500A9F87","","","6","300000037637152","21715008","Y","3306415","","","","OFFSET","0","300000037689221","8978413","300000003827335","A","","0","","INVOICE","R12_MERGE","","","-114.62"
