asin	warehouse_id	item_disposition_code	cost_acquisition_datetime	cost	cost_reference_id_source	inventory_txn_type_id	original_quantity	on_hand_quantity	in_transit_quantity	snapshot_day	distributor_list_price	received_day	order_type	distributor_order_order_id	adjustment_reason_code	inventory_cost_id	inventory_owner_group_id	inventory_fiscal_owner_id	fnsku	region_id	distributor_id
B08BXBDRDY	GEG2	SELLABLE	2024-08-14 23:06:39	85.00	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	149.99	2024-08-14 00:00:00	35.000000000000000000	7BL71XFJ		100480975326112	1	47381136	B08BXBDRDY	1	PPIQ9
B06Y1N3PTX	HOU2	SELLABLE	2024-11-10 19:19:04	12.55	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	16.99	2024-11-10 00:00:00	11.000000000000000000	26G3G1ST		100534476803635	1	239873	B06Y1N3PTX	1	HASP7
1639527095	PHL7	SELLABLE	2024-11-01 21:13:18	18.00	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	39.99	2024-11-01 00:00:00	9.000000000000000000	85NA8HZV		100532487093130	2	93474	1639527095	1	CHVY6
B00028MLG6	CLE3	SELLABLE	2024-11-10 15:05:12	6.90	DISTRIBUTOR_SHIPMENT_ITEM	1	3	3	0	2024-11-26 00:00:00	14.99	2024-11-10 00:00:00	9.000000000000000000	3EN36CPQ		100534734051763	1	239869	B00028MLG6	1	0GN1H
B08PG55STD	BHM1	SELLABLE	2024-04-02 05:50:53	23.14	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	51.58	2024-04-01 00:00:00	9.000000000000000000	1LDUSEUA		100404204164887	1	47381136	B08PG55STD	1	MEEV7
B08Q8HL6QH	BOS7	SELLABLE	2024-01-02 21:15:03	4.00	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	21.99	2024-01-02 00:00:00	9.000000000000000000	6RXUVIVN		100351564199314	1	239869	B08Q8HL6QH	1	HASIN
B00CWTZ8RC	MDW2	SELLABLE		20.64	DISTRIBUTOR_SHIPMENT_ITEM	1	1	0	1	2024-11-26 00:00:00	35.99	2024-11-20 00:00:00	9.000000000000000000	2T8V8ACF		100540857512035	1	239869	B00CWTZ8RC	1	TONA9
B00LIL7YPE	FWA6	SELLABLE	2024-02-10 01:58:22	25.00	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	69.99	2024-02-09 00:00:00	9.000000000000000000	6H2JU98J		100388151220951	1	47381136	B00LIL7YPE	1	JSKME
B093X4M4QF	BNA3	SELLABLE	2024-11-11 15:02:06	5.67	INVENTORY_ADJUSTMENT_ITEM	4	1	1	0	2024-11-26 00:00:00					R	100534022745475	1	239873	B093X4M4QF	1	MKAEG
B00AZMH2KE	BFL1	SELLABLE	2024-08-09 14:39:33	23.20	CUSTOMER_RETURN_ITEM	3	1	1	0	2024-11-26 00:00:00						100491828642997	1	47381136	B00AZMH2KE	1	BEOJ9
B07SHL6CH6	AGS1	SELLABLE	2024-04-12 12:10:25	6.09	DISTRIBUTOR_SHIPMENT_ITEM	1	2	2	0	2024-11-26 00:00:00	11.93	2024-04-12 00:00:00	9.000000000000000000	83E1UGOQ		100408405537897	1	47381136	B07SHL6CH6	1	5M2LI
B06W5SBSL7	SCA4	SELLABLE	2024-09-13 10:11:56	0.27	DISTRIBUTOR_SHIPMENT_ITEM	1	2	2	0	2024-11-26 00:00:00	0.27	2024-09-13 00:00:00	9.000000000000000000	7IS1ZNXG		100538535784141	1	47381136	B06W5SBSL7	1	IJ1H1
B01KOKCV8Y	STX2	SELLABLE	2024-10-25 15:10:26	13.68	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	16.07	2024-10-25 00:00:00	9.000000000000000000	6YYLMKBO		100545045422542	1	47381136	B01KOKCV8Y	1	FERZ9
B0BTKJFRDV	PHL4	SELLABLE	2024-11-13 18:26:14	127.88	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	149.97	2024-11-13 00:00:00	11.000000000000000000	215YQC1Q		100535610001723	1	239873	B0BTKJFRDV	1	SCEBA
B08GDYQ4SB	MCO2	SELLABLE	2024-10-18 19:16:26	49.89	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	89.99	2024-10-18 00:00:00	7.000000000000000000	41XQF8RR		100525944330382	1	47381136	B08GDYQ4SB	1	MEYK9
B0CLJWFNWV	HLA6	SELLABLE	2024-11-05 00:41:22	5.29	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	7.49	2024-11-04 00:00:00	9.000000000000000000	3AS2HYWZ		100530865317262	1	47381136	B0CLJWFNWV	1	V21WL
B0051BWYZ2	OMA2	SELLABLE	2024-01-02 22:15:27	3.11	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	5.99	2024-01-02 00:00:00	9.000000000000000000	1X18E9AZ		100353377025550	1	47381136	B0051BWYZ2	1	BEIST
B00TTD9BRC	MQY1	SELLABLE	2024-10-09 14:55:08	13.32	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	19.49	2024-10-09 00:00:00	9.000000000000000000	5E637CCE		100522646392180	1	47381136	B00TTD9BRC	1	RSLS7
B001NZSCDS	BDL3	SELLABLE	2024-11-07 21:51:13	12.50	DISTRIBUTOR_SHIPMENT_ITEM	1	6	1	0	2024-11-26 00:00:00	32.89	2024-11-07 00:00:00	9.000000000000000000	3P6LERNO		100532283801412	1	239869	B001NZSCDS	1	EVEGX
B0CPSP7V81	MGE1	SELLABLE	2024-09-09 06:33:06	99.00	DISTRIBUTOR_SHIPMENT_ITEM	1	6	6	0	2024-11-26 00:00:00	198.00	2024-09-08 00:00:00	7.000000000000000000	8FZE861M		100494082419172	1	239873	B0CPSP7V81	1	TICH9
B07SX2QKL7	JAX2	SELLABLE	2024-11-06 09:02:07	19.22	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	19.99	2024-11-05 00:00:00	9.000000000000000000	1R2YFW3F		100535487187408	1	239873	B07SX2QKL7	1	DIAW7
B00UUNT6EI	DET3	SELLABLE	2024-11-14 16:52:09	27.15	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	29.99	2024-11-14 00:00:00	9.000000000000000000	2ZQFMTJT		100542159541387	1	47381136	B00UUNT6EI	1	KT8JW
B003545AJE	PHL7	SELLABLE	2024-11-01 17:36:21	17.20	DISTRIBUTOR_SHIPMENT_ITEM	1	4	4	0	2024-11-26 00:00:00	24.99	2024-11-01 00:00:00	9.000000000000000000	1IXJ7LAD		100529890290178	1	239873	B003545AJE	1	DR2FP
B0CRF93Q26	MKC6	SELLABLE	2024-10-26 10:18:13	26.82	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	29.97	2024-10-26 00:00:00	9.000000000000000000	6R5F8BUN		100536244871920	1	1043639	B0CRF93Q26	1	UNDA7
B000THQ0CQ	HOU2	SELLABLE	2024-09-10 20:16:32	29.91	DISTRIBUTOR_SHIPMENT_ITEM	1	10	10	0	2024-11-26 00:00:00	46.02	2024-09-10 00:00:00	7.000000000000000000	2AVT5VXS		100495756147462	1	239873	B000THQ0CQ	1	BLW6A
B0BJTHNGJR	PDX9	SELLABLE	2024-01-30 20:18:30	10.75	MANUFACTURED_ITEM	7	2	2	0	2024-11-26 00:00:00						100370009839852	1	239869	B0BJTHNGJR	1	
B07BSGRV22	JAN1	SELLABLE	2024-11-08 23:14:53	3.60	DISTRIBUTOR_SHIPMENT_ITEM	1	10	10	0	2024-11-26 00:00:00	7.99	2024-11-08 00:00:00	9.000000000000000000	29XZCWWQ		100537820597911	1	47381136	B07BSGRV22	1	FANY7
B00MNV8E0C	STX8	SELLABLE	2024-11-15 14:13:11	4.79	CROSS_REGION_TRANSSHIPMENT_ITEM	18	1	1	0	2024-11-26 00:00:00	0.00	2024-11-20 00:00:00	35.000000000000000000	72Y9SBGA		100543414600504	1	47381136	B00MNV8E0C	1	GG6CX
B01MR6N9N8	OKC1	SELLABLE	2023-11-10 02:02:19	20.76	DISTRIBUTOR_SHIPMENT_ITEM	1	1	1	0	2024-11-26 00:00:00	25.99	2023-11-09 00:00:00	7.000000000000000000	57GCVSFE		100427741107006	1	47381136	B01MR6N9N8	1	APOBK
